Cve. Materia,Materia,Clave de Grupo,Tipo Grupo,Modalidad,Docente,Campus,Salón,Horario
DIS-2320-00,INTRODUCCION A LA IMAGEN,C-L1,Laboratorio,Presencial,AVILA RUIZ JESUS MIGUEL,CU,107-B-101-d,"Martes 9:00-10:00, Jueves 8:00-10:00"
DIS-2321-00,BOCETAJE E ILUSTRACION,C,Teoria,Presencial,GARZA ROJO GABRIEL RAFAEL,CU,107-B-101-c,Martes 8:00-9:00
DIS-2321-00,BOCETAJE E ILUSTRACION,C-L1,Laboratorio,Presencial,GARZA ROJO GABRIEL RAFAEL,CU,107-B-101-c,"Martes 9:00-10:00, Jueves 8:00-10:00"
DIS-2321-00,BOCETAJE E ILUSTRACION,D,Teoria,Presencial,SANCHEZ GARCIA SALVADOR DE JESUS,CU,107-B-109,Viernes 8:00-9:00
DIS-2321-00,BOCETAJE E ILUSTRACION,D-L1,Laboratorio,Presencial,SANCHEZ GARCIA SALVADOR DE JESUS,CU,107-B-109,Viernes 9:00-12:00
DIS-2322-00,EXPRESION PLASTICA,C,Teoria,Presencial,GARCIA CHAVEZ CARLOS HORACIO,CU,107-B-101-c,Lunes 12:00-13:00
DIS-2322-00,EXPRESION PLASTICA,C-L1,Laboratorio,Presencial,GARCIA CHAVEZ CARLOS HORACIO,CU,107-B-101-c,"Lunes 13:00-14:00, Miércoles 12:00-14:00"
,,,,,,,,,
DIS-2322-00,EXPRESION PLASTICA,D,Teoria,Presencial,GARZA ROJO GABRIEL RAFAEL,CU,107-B-101-b,Martes 10:00-11:00
DIS-2322-00,EXPRESION PLASTICA,D-L1,Laboratorio,Presencial,GARZA ROJO GABRIEL RAFAEL,CU,107-B-101-b,"Martes 11:00-12:00, Jueves 10:00-12:00"
DIS-2323-00,TECNOLOGIA PARA EL DISEÑO I,F,Teoria,Presencial,... ... ...,CU,107-C-209,Martes 12:00-13:00
DIS-2323-00,TECNOLOGIA PARA EL DISEÑO I,F-L1,Laboratorio,Presencial,... ... ...,CU,107-C-209,"Martes 13:00-14:00, Jueves 12:00-14:00"
DIS-2323-00,TECNOLOGIA PARA EL DISEÑO I,G,Teoria,Presencial,... ... ...,CU,107-C-209,Martes 10:00-11:00
DIS-2323-00,TECNOLOGIA PARA EL DISEÑO I,G-L1,Laboratorio,Presencial,... ... ...,CU,107-C-209,"Martes 11:00-12:00, Jueves 10:00-12:00"
DIS-2325-00,PRINCIPIOS DE INVESTIGACION,D,Teoria,Presencial,CORDOVA ORTEGA DANIELA GUADALUPE,CU,107-B-101-d,Martes 12:00-14:00
DIS-2325-00,PRINCIPIOS DE INVESTIGACION,D-L1,Laboratorio,Presencial,CORDOVA ORTEGA DANIELA GUADALUPE,CU,107-B-101-d,Jueves 12:00-14:00
